user_id,user_name,reason,date,mod,server
624567314406178836,unknøwn#9178,Dont post nsfw images,Date N/A,Smaen#9999,PC Help Hub
624761353504161792,Itz_Kavish#5698,Repeatedly breaking rules,Date N/A,Smaen#9999,PC Help Hub
630090411079368733,qwewtt#0023,Breaking Discord TOS,Date N/A,Smaen#9999,PC Help Hub
630867941142953984,CrackHead#1000,,Date N/A,Smaen#9999,PC Help Hub
632010688071729188,Mystic#8113,Troll,Date N/A,Smaen#9999,PC Help Hub
640750607522594816,Deleted User 3b181e52#0519,Being NSFW to eb's in DMS,Date N/A,Smaen#9999,PC Help Hub
645564599373922304,Gamer Studio 3#6531,dont disrespect staff members,Date N/A,Smaen#9999,PC Help Hub
658860777364783104,oReIentless#4944,,Date N/A,Smaen#9999,PC Help Hub
659268436203012139,chris hansen#6496,You've been a toxic piece of shit today of all days. So with all due disrespect - go fuck yourself sideways and don't come back.,Date N/A,Smaen#9999,PC Help Hub
660758276836950027,Laji#9450,Cunt,Date N/A,Smaen#9999,PC Help Hub
663229520479911971,dragon slayer#6677,repeated questions even after answered,Date N/A,Smaen#9999,PC Help Hub
663400632895668249,MadLad69#8698,No Reason Provided.,Date N/A,Smaen#9999,PC Help Hub
665823147261427712,ya_boy_dylan#1062,"Dont throw out racial slurs",Date N/A,Smaen#9999,PC Help Hub
670495031399809054,AHAHAHA.#3573,,Date N/A,Smaen#9999,PC Help Hub
675699892362149889,ceodadbod#0942,No Reason Provided.,Date N/A,Smaen#9999,PC Help Hub
676162628371873792,Super#9846,No Reason Provided.,Date N/A,Smaen#9999,PC Help Hub
679228107869388815,Blue Polo YT#9509,,Date N/A,Smaen#9999,PC Help Hub
682734938130612225,dk#2804,,Date N/A,Smaen#9999,PC Help Hub
682774681844973568,L_ght#2124,,Date N/A,Smaen#9999,PC Help Hub
691780973419036722,Deleted User 9a35def1#3650,"Posting NSFW Content, Offensive content",Date N/A,Smaen#9999,PC Help Hub
693266456372314123,Padre#5675,,Date N/A,Smaen#9999,PC Help Hub
693952656317743158,Deleted User 56ef376e#9536,Due to your behaviour%2C you are not welcome here anymore.,Date N/A,Smaen#9999,PC Help Hub
694610420329349200,xiziahx#1933,,Date N/A,Smaen#9999,PC Help Hub
697676848427040778,ryan B)#3651,Slurs,Date N/A,Smaen#9999,PC Help Hub
698616614995886161,lolfunny#8415,,Date N/A,Smaen#9999,PC Help Hub
698701717532835850,Orcy#8514,Underage,Date N/A,Smaen#9999,PC Help Hub
701980746994286674,woolier the sender of memes#0995,Dont post swastikas,Date N/A,Smaen#9999,PC Help Hub
704009030799982652,Deleted User c09f99b3#4545,Don't,Date N/A,Smaen#9999,PC Help Hub
704819279501197433,ovo#2240,,Date N/A,Smaen#9999,PC Help Hub
705918865129078865,iLovekids#9063,NSFW PFP,Date N/A,Smaen#9999,PC Help Hub
706943438276526096,Kakorot#6029,Asshole,Date N/A,Smaen#9999,PC Help Hub
707639323209760779,Rush#9570,,Date N/A,Smaen#9999,PC Help Hub
707652726833676331,Abstractiox#4467,,Date N/A,Smaen#9999,PC Help Hub
710301845838364793,Leader mint#7138,I gave you so many chances. Please take this time to consider why you are acting this way to strangers who are trying to help other strangers.,Date N/A,Smaen#9999,PC Help Hub
712060316690939914,Deleted User d67e3eb8#6226,Offensive slurs,Date N/A,Smaen#9999,PC Help Hub
713196220654419981,Fangs#9202,racisl slurs,Date N/A,Smaen#9999,PC Help Hub
713917154835300365,TheTrueIdiot#4633,"Spammer",Date N/A,Smaen#9999,PC Help Hub
714742901493727393,SharqueBite#9597,come back after you turn 13,Date N/A,Smaen#9999,PC Help Hub
718417417780330566,K1NG#9053,Rule 6. Don't join our server just to ping our members for your own gain.,Date N/A,Smaen#9999,PC Help Hub
719824370708643886,Kilo#1684,Spam,Date N/A,Smaen#9999,PC Help Hub
720729694000906324,Snoopy chaun#0459,Dont be a dick to staff in dms and stop trolling,Date N/A,Smaen#9999,PC Help Hub
724718852163895306,Orbit#5554,rule 2. You have been warned%2C muted%2C and warned again.,Date N/A,Smaen#9999,PC Help Hub
731219123115393094,NuhatWasHere#9987,,Date N/A,Smaen#9999,PC Help Hub
731614175394267156,heatseekingretard#2240,don't come here just to waste time. We're just volunteers.,Date N/A,Smaen#9999,PC Help Hub
733285600026689547,Char Char Wazowski#6061,Spam/Trolling,Date N/A,Smaen#9999,PC Help Hub
735374317650575413,robindrip#0605,Don't come here just to advertise your stuff. Rule 6.,Date N/A,Smaen#9999,PC Help Hub
737398397241393224,Zac attack#6424,Slurs,Date N/A,Smaen#9999,PC Help Hub
738591372508004375,Deleted User cb7413f6#5424,Ban avoiding,Date N/A,Smaen#9999,PC Help Hub
742160250605666486,Stattrak#0573,NSFW,Date N/A,Smaen#9999,PC Help Hub
742533245291200562,فهيداتي#6783,"Okay bye then, don't come back if we're so horrible.",Date N/A,Smaen#9999,PC Help Hub
743671293383147602,LolInStuff#4959,Dont be a shit to staff and dont use alts,Date N/A,Smaen#9999,PC Help Hub
744435638044065853,JoJomum#9562,Advertising ,Date N/A,Smaen#9999,PC Help Hub
744883996973989979,ps2gamer69#6050,Trolling/Spamming,Date N/A,Smaen#9999,PC Help Hub
745293330610651257,BestNestBan#4310,Ban Evading (3rd time),Date N/A,Smaen#9999,PC Help Hub
746734689808810054,XLegit#5227,,Date N/A,Smaen#9999,PC Help Hub
747425463298818088,jackson!#6515,Advertising ,Date N/A,Smaen#9999,PC Help Hub
748219530119217243,fuckHighNow#0535,,Date N/A,Smaen#9999,PC Help Hub
748228618664280124,fuckLowGone#2706,"5TH FUCKING ALT.. STOP (ban evading tos)",Date N/A,Smaen#9999,PC Help Hub
750213084194406500,Discordspeedrunner#8365,,Date N/A,Smaen#9999,PC Help Hub
750576522427105310,0xFF#9807,,Date N/A,Smaen#9999,PC Help Hub
753095503406694490,Deleted User 3af5c188#1972,rule 2. Seriously%3F,Date N/A,Smaen#9999,PC Help Hub
754683545489899532,smackattack#1234,,Date N/A,Smaen#9999,PC Help Hub
754801968991436863,Chavão#6666,,Date N/A,Smaen#9999,PC Help Hub
756356687694397440,Bytecode Velocity#9426,Spammer,Date N/A,Smaen#9999,PC Help Hub
758782817626357790,Jane_12#2827,Spambot,Date N/A,Smaen#9999,PC Help Hub
760667925698183189,rickynicky#1748,No Reason Provided.,Date N/A,Smaen#9999,PC Help Hub
761026213002346517,gusherfrog#1752,don%E2%80%99t be a dick to staff and other members,Date N/A,Smaen#9999,PC Help Hub
761119231328518145,realtrapnigga#2748,bruh,Date N/A,Smaen#9999,PC Help Hub
761292492381356082,Ghostツ#0372,,Date N/A,Smaen#9999,PC Help Hub
762143113107079248,Deleted User 1f508692#9468,no,Date N/A,Smaen#9999,PC Help Hub
762300272361340928,Freddy Has Big PP#4462,,Date N/A,Smaen#9999,PC Help Hub
762414949711740938,Adolf Hitler#5390,,Date N/A,Smaen#9999,PC Help Hub
764522058453221387,Aisyah#4959,,Date N/A,Smaen#9999,PC Help Hub
765019265740570644,IdanBM#2106,"Spam",Date N/A,Smaen#9999,PC Help Hub
767828917477834802,Guzzy#0649,,Date N/A,Smaen#9999,PC Help Hub
768940538656587796,Drake#7835,adv,Date N/A,Smaen#9999,PC Help Hub
769309562841858048,JSimpsx#7657,,Date N/A,Smaen#9999,PC Help Hub
770059781154668564,Arnold#0971,"...and don't come back, you sorry walking bag of sus",Date N/A,Smaen#9999,PC Help Hub
770722543640117270,shibadog#5177,,Date N/A,Smaen#9999,PC Help Hub
772125312602865704,Basilisk Slave#4385,Spammer,Date N/A,Smaen#9999,PC Help Hub
774253946104709151,softmew#3696,,Date N/A,Smaen#9999,PC Help Hub
774324248763432972,NickyRicky#9275,Don't come back ping pong boi,Date N/A,Smaen#9999,PC Help Hub
774325276812640276,rickynicky#2024,"troll",Date N/A,Smaen#9999,PC Help Hub
774328886707617844,ban me again i dare u#0946,,Date N/A,Smaen#9999,PC Help Hub
774330283787943958,kowabungaYT#5619,No Reason Provided.,Date N/A,Smaen#9999,PC Help Hub
774453225838346240,oofer224-567-34XX#1600,,Date N/A,Smaen#9999,PC Help Hub
781729581345275914,NateisStraight#4788,,Date N/A,Smaen#9999,PC Help Hub
783779285008646146,5453454354353454354#2811,,Date N/A,Smaen#9999,PC Help Hub
790084560721412098,Wubbubbadubdub#8109,,Date N/A,Smaen#9999,PC Help Hub
790771573668970506,JamesCharles#5128,,Date N/A,Smaen#9999,PC Help Hub
791087466400579584,JamesCharlesFan#2672,,Date N/A,Smaen#9999,PC Help Hub
791123392853180466,ShineyTushey101#8277,"Spammer",Date N/A,Smaen#9999,PC Help Hub
791230489582370821,TrickyNicky#5915,,Date N/A,Smaen#9999,PC Help Hub
791249086203297843,Hendrix#2518,,Date N/A,Smaen#9999,PC Help Hub
791403321193529357,George kindwitt#0463,,Date N/A,Smaen#9999,PC Help Hub
791424091340275734,SplishDplashYourOpinionIsTrash#2264,mass ping,Date N/A,Smaen#9999,PC Help Hub
791442900570865664,johnnyneuro#9630,,Date N/A,Smaen#9999,PC Help Hub
791443770662977597,bintyShinty#3799,Fuck off,Date N/A,Smaen#9999,PC Help Hub
791456497972412517,Drizz2.0#4336,racial slurs,Date N/A,Smaen#9999,PC Help Hub
791561206854582302,Jakepaulfan#0831,NSFW,Date N/A,Smaen#9999,PC Help Hub
791809734851428392,eastmanlol#1526,"Look you wanted help and got mad that you didnt get it from a eb, others are here to help you. If you can handle yourself you can see yourself out. Have a nice Christmas.",Date N/A,Smaen#9999,PC Help Hub
793593401429458976,Rylee#3283,No,Date N/A,Smaen#9999,PC Help Hub
793599103871352834,JacobTechTips#6198,no,Date N/A,Smaen#9999,PC Help Hub
788968216084611083,savemeflu#6669,"Dont come into our server and give out bad advice to people who ask, Please go see yourself out.",2020-12-30,triso#8009,PC Help Hub
722523344699785243,st6x#0420,14d Don't ping staff for no reason,2020-12-31,Smaen#9999,PC Help Hub
652373046900031489,StandardDefinition#7351,Spamming and Harrassment,2020-12-31,Smaen#9999,PC Help Hub
